registry_position,task_id,dataset_name,feature_type,complete
1,49,tic-tac-toe,categorical,True
2,3,kr-vs-kp,categorical,True
3,14952,PhishingWebsites,categorical,True
4,125920,dresses-sales,mixed,True
5,14954,cylinder-bands,mixed,True
6,9971,ilpd,mixed,True
7,29,credit-approval,mixed,True
8,31,credit-g,mixed,True
9,3021,sick,mixed,True
10,167141,churn,mixed,True
11,14965,bank-marketing,mixed,True
12,219,electricity,mixed,True
13,7592,adult,mixed,True
14,3913,kc2,numeric,True
15,146819,climate-model-simulation-crashes,numeric,True
16,9946,wdbc,numeric,True
17,15,breast-w,numeric,True
18,37,diabetes,numeric,True
19,9957,qsar-biodeg,numeric,True
20,3918,pc1,numeric,True
21,3902,pc4,numeric,True
22,3903,pc3,numeric,True
23,3917,kc1,numeric,True
24,9978,ozone-level-8hr,numeric,True
25,43,spambase,numeric,True
26,146820,wilt,numeric,True
27,9952,phoneme,numeric,True
28,3904,jm1,numeric,True
