family,comparison_id,metric,model_a,model_b,n_datasets,mean_model_a,mean_model_b,mean_difference,sd_difference,median_difference,q25_difference,q75_difference,iqr_difference,bootstrap_mean_ci_low,bootstrap_mean_ci_high,rank_biserial,win_rate,loss_rate,tie_rate,wilcoxon_statistic,wilcoxon_effective_n,p_raw,p_adjusted,reject,benchmark_complete
primary,agnam_vs_main_auroc,AUROC,AG-NAM,Main NAM,28,0.8842494926344443,0.8818126237579068,0.0024368688765376172,0.016321625426220763,0.0,0.0,0.0010029736279622836,0.0010029736279622836,-0.0035811088358307344,0.008483827314564086,0.46153846153846156,0.2857142857142857,0.14285714285714285,0.5714285714285714,21.0,12,0.17626953125,0.17626953125,False,True
secondary,agnam_vs_main_auprc,AUPRC,AG-NAM,Main NAM,28,0.7412757722015391,0.7247947602626267,0.016481011938912396,0.05266247074880887,0.0,0.0,0.0008556860603745331,0.0008556860603745331,0.001844432068855912,0.03931486688259488,0.5641025641025641,0.2857142857142857,0.14285714285714285,0.5714285714285714,17.0,12,0.09228515625,0.5537109375,False,True
secondary,agnam_vs_ebm_auroc,AUROC,AG-NAM,EBM,28,0.8842494926344443,0.8992609792261291,-0.01501148659168483,0.026285192909828684,-0.008549962582220627,-0.02747506946608,0.000531534869571415,0.028006604335651414,-0.02521562003883463,-0.0059012503486206725,-0.5873015873015873,0.2857142857142857,0.6785714285714286,0.03571428571428571,78.0,27,0.006450757384300232,0.05805681645870209,False,True
secondary,agnam_vs_ebm_auprc,AUPRC,AG-NAM,EBM,28,0.7412757722015391,0.7619310671291598,-0.02065529492762086,0.0579748850877678,-0.008968348805672488,-0.0437535188703293,4.134917857476217e-05,0.04379486804890406,-0.04338797355707809,-0.00028210519328303286,-0.43915343915343913,0.25,0.7142857142857143,0.03571428571428571,106.0,27,0.046262577176094055,0.3238380402326584,False,True
secondary,agnam_vs_catboost_auroc,AUROC,AG-NAM,CatBoost,28,0.8842494926344443,0.8918595927160528,-0.007610100081608653,0.028391092677186123,-0.005243329961008292,-0.012815786364173493,0.007411569278874347,0.02022735564304784,-0.018004665288540538,0.0023959320637761067,-0.2660098522167488,0.39285714285714285,0.6071428571428571,0.0,149.0,28,0.22697687149047852,0.9079074859619141,False,True
secondary,agnam_vs_catboost_auprc,AUPRC,AG-NAM,CatBoost,28,0.7412757722015391,0.7652268678564627,-0.02395109565492372,0.058823726733699074,-0.015090651327369559,-0.025303253736705472,0.002236121721416101,0.027539375458121573,-0.04748109495657516,-0.004361440963770505,-0.5172413793103449,0.2857142857142857,0.7142857142857143,0.0,98.0,28,0.01563260704278946,0.12506085634231567,False,True
secondary,agnam_vs_random_auroc,AUROC,AG-NAM,Random-Pair NAM,28,0.8842494926344443,0.8848353599519642,-0.0005858673175198178,0.019883368597656992,0.0,0.0,0.00044211657252565817,0.00044211657252565817,-0.008884915482070896,0.005780545828724674,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.5714285714285714,26.0,12,0.33935546875,1.0,False,True
secondary,agnam_vs_random_auprc,AUPRC,AG-NAM,Random-Pair NAM,28,0.7412757722015391,0.7297553326538938,0.011520439547645084,0.050608908015673394,0.0,0.0,0.0005950622296468366,0.0005950622296468366,-0.0003374403054198002,0.03236327937815795,0.5641025641025641,0.35714285714285715,0.07142857142857142,0.5714285714285714,17.0,12,0.09228515625,0.5537109375,False,True
secondary,agnam_vs_single_run_auroc,AUROC,AG-NAM,Single-Run AG-NAM,28,0.8842494926344443,0.8904038527521297,-0.006154360117685442,0.0278159687434773,-0.00042432201372710754,-0.002646458460910217,0.0015099789915966333,0.00415643745250685,-0.01773343164959682,0.001449890762947659,-0.150997150997151,0.39285714285714285,0.5357142857142857,0.07142857142857142,149.0,26,0.5153007805347443,1.0,False,True
secondary,agnam_vs_single_run_auprc,AUPRC,AG-NAM,Single-Run AG-NAM,28,0.7412757722015391,0.750690785193614,-0.009415012992075004,0.038138553331661953,-0.00034779297368170425,-0.012104883613240108,0.009373317545204637,0.021478201158444746,-0.02501390831417024,0.002455352161246742,-0.15873015873015872,0.4642857142857143,0.5,0.03571428571428571,159.0,27,0.4846055656671524,1.0,False,True
