model,metric,n,mean,std,median,q25,q75,iqr,minimum,maximum
Main NAM,AUROC,28,0.8818126237579068,0.10822845551156,0.9086376608631292,0.8294506933359936,0.9629979938625575,0.13354730052656383,0.5402298850574713,1.0
Main NAM,AUPRC,28,0.7247947602626267,0.22078655818135745,0.7667554533536971,0.5515862654748548,0.8973649421356924,0.3457786766608376,0.2829415841234529,1.0000000000000002
Main NAM,Balanced Accuracy,28,0.7607342146324333,0.14516682468244674,0.7724703356751805,0.6458551651115667,0.8628321296607323,0.2169769645491656,0.4873949579831932,0.9861111111111112
Main NAM,F1,28,0.6289165945280301,0.25635244961897735,0.6790540540540541,0.41087073127123186,0.79375,0.3828792687287681,0.16,0.9767441860465116
AG-NAM,AUROC,28,0.8842494926344443,0.11107046003584173,0.9157337853959124,0.8287960145650439,0.9629979938625575,0.13420197929751354,0.5402298850574713,1.0
AG-NAM,AUPRC,28,0.7412757722015391,0.21707009992543713,0.8108604626795581,0.6143511923669072,0.8973649421356924,0.28301374976878524,0.2810521940936688,1.0000000000000002
AG-NAM,Balanced Accuracy,28,0.7677915975861994,0.14285350637980831,0.784935441935018,0.6733308575918396,0.8628321296607323,0.18950127206889267,0.4873949579831932,0.9872020664553246
AG-NAM,F1,28,0.6429523697408323,0.2525732063108468,0.7114468864468865,0.46986646071054855,0.79375,0.3238835392894514,0.16,0.986842105263158
Random-Pair NAM,AUROC,28,0.8848353599519642,0.1074803732066905,0.9163208183714782,0.8289269503192338,0.9629979938625575,0.13407104354332366,0.5402298850574713,1.0
Random-Pair NAM,AUPRC,28,0.7297553326538938,0.2214306794725092,0.8094839513835761,0.558277735341671,0.8973649421356924,0.3390872067940214,0.295337917775806,1.0000000000000002
No-ISR AG-NAM,AUROC,28,0.8905555329379544,0.10735337943812287,0.9197669064625034,0.8436370499263306,0.9629979938625575,0.11936094393622687,0.5402298850574713,1.0
No-ISR AG-NAM,AUPRC,28,0.7506050686143505,0.20876453218660868,0.7985947267670015,0.6143511923669072,0.9198072223684718,0.3054560300015646,0.3311984238824872,1.0000000000000002
Single-Run AG-NAM,AUROC,28,0.8904038527521297,0.10389193316029437,0.9201487364771882,0.8513852813852815,0.9600979892577378,0.10871270787245635,0.5648604269293924,1.0
Single-Run AG-NAM,AUPRC,28,0.750690785193614,0.20926698411886147,0.7967412875571332,0.6009879100811806,0.9199322701845025,0.31894436010332194,0.3259952236719518,1.0
EBM,AUROC,28,0.8992609792261291,0.10117913753668716,0.9319090071512031,0.838979823423783,0.9812645917145177,0.14228476829073478,0.5779967159277504,1.0
EBM,AUPRC,28,0.7619310671291598,0.2139509420553452,0.8318323175990012,0.5679608138824845,0.9446890760287769,0.3767282621462924,0.2631931676674513,1.0
EBM,Balanced Accuracy,28,0.7890000320098043,0.14610256029218388,0.8326820835643693,0.663734243697479,0.8921962095875139,0.22846196589003487,0.5170656028368794,1.0
EBM,F1,28,0.6776981885867072,0.2538598711664126,0.7701612903225806,0.4444444444444444,0.8788755684167011,0.4344311239722567,0.0952380952380952,1.0
CatBoost,AUROC,28,0.8918595927160528,0.11858064364843818,0.9340234048040762,0.8381144004389466,0.9861753560254614,0.14806095558651478,0.4737274220032841,1.0
CatBoost,AUPRC,28,0.7652268678564627,0.20971913148998458,0.8150794909425055,0.6015498020165094,0.9454855013742007,0.3439356993576913,0.3380667650052933,1.0
CatBoost,Balanced Accuracy,28,0.7717893801900324,0.1562462168216841,0.8032347760853257,0.6383928571428571,0.8999871991807475,0.26159434203789045,0.4704433497536945,0.993738014167743
CatBoost,F1,28,0.6548102363319005,0.2632741121505223,0.7452173913043478,0.43333333333333335,0.8863636363636364,0.453030303030303,0.2,0.9934640522875816
