task_index,task_id,dataset_name,feature_type,n_samples,n_features,main_auroc,agnam_auroc,random_pair_auroc,no_isr_auroc,single_run_auroc,ebm_auroc,catboost_auroc,main_auprc,agnam_auprc,random_pair_auprc,no_isr_auprc,single_run_auprc,ebm_auprc,catboost_auprc,delta_agnam_main_auroc,delta_agnam_main_auprc,delta_agnam_random_auroc,delta_agnam_ebm_auroc,delta_agnam_catboost_auroc
0,49,tic-tac-toe,categorical,958,9,0.9889369889369888,0.9889369889369888,0.9889369889369888,0.9889369889369888,0.9745069745069744,0.9956709956709956,1.0,0.9837253347427766,0.9837253347427766,0.9837253347427766,0.9837253347427766,0.970837802168971,0.9920632804797028,1.0,0.0,0.0,0.0,-0.0067340067340067,-0.0110630110630111
1,3,kr-vs-kp,categorical,3196,36,0.9961645336777424,0.9998434503541936,0.9963210833235489,0.9996869007083872,0.9988258776564518,0.9996869007083872,0.9999217251770968,0.9960588865937106,0.9998285560906496,0.9961768201257528,0.9996595691973258,0.9987604738193968,0.9996631593763512,0.9999148401685888,0.003678916676451,0.0037696694969389,0.0035223670306446,0.0001565496458063,-7.827482290323484e-05
2,14952,PhishingWebsites,categorical,11055,30,0.9855171614100184,0.98740889212828,0.9862128942486086,0.9874486482904852,0.9881311290750066,0.9894563344818448,0.9937334349324144,0.9837545737505644,0.9857855853434432,0.984106144572334,0.985836618325596,0.9864811712908068,0.9878357046156976,0.9927568072159868,0.0018917307182613,0.0020310115928786,0.0011959978796712,-0.0020474423535649,-0.0063245428041346
3,125920,dresses-sales,mixed,500,12,0.5402298850574713,0.5402298850574713,0.5402298850574713,0.5402298850574713,0.5648604269293924,0.5779967159277504,0.4737274220032841,0.5219927459203657,0.5219927459203657,0.5219927459203657,0.5219927459203657,0.5499615446777802,0.5312179479867914,0.480333359053735,0.0,0.0,0.0,-0.0377668308702791,0.0665024630541871
4,14954,cylinder-bands,mixed,540,37,0.8906030855539973,0.8906030855539973,0.8906030855539973,0.8906030855539973,0.8821879382889202,0.9270687237026648,0.8779803646563814,0.8728453326843609,0.8728453326843609,0.8728453326843609,0.8728453326843609,0.883395649811473,0.9080199097528668,0.8918695710665538,0.0,0.0,0.0,-0.0364656381486675,0.0126227208976158
5,9971,ilpd,mixed,583,10,0.7016806722689075,0.7016806722689075,0.7016806722689075,0.7016806722689075,0.7002801120448179,0.7703081232492996,0.6946778711484594,0.4047815377810086,0.4047815377810086,0.4047815377810086,0.4047815377810086,0.4127608521960519,0.5196469733441695,0.4272459509762027,0.0,0.0,0.0,-0.0686274509803921,0.0070028011204481
6,29,credit-approval,mixed,690,15,0.9042735042735044,0.9042735042735044,0.9042735042735044,0.941025641025641,0.9384615384615383,0.9324786324786324,0.9299145299145298,0.8823573789497993,0.8823573789497993,0.8823573789497993,0.911539893140032,0.9117066235614064,0.8930034604528219,0.9041139351880438,0.0,0.0,0.0,-0.0282051282051282,-0.0256410256410255
7,31,credit-g,mixed,1000,20,0.8271428571428572,0.8271428571428572,0.8271428571428572,0.828095238095238,0.8276190476190477,0.8442857142857143,0.8395238095238096,0.6953478214197663,0.6953478214197663,0.6953478214197663,0.6960743320826803,0.6592857228466555,0.7004039870231821,0.6875231572388649,0.0,0.0,0.0,-0.0171428571428571,-0.0123809523809523
8,3021,sick,mixed,3772,29,0.9421922841396204,0.9443968156766688,0.9408450704225352,0.952112676056338,0.9483159828536436,0.9969381506429884,0.9953459889773424,0.8414978639429874,0.8631521342199129,0.8551563702215009,0.8636698629026727,0.8539331838062925,0.977355072463768,0.9712980466288594,0.0022045315370482,0.0216542702769254,0.0035517452541333,-0.0525413349663196,-0.0509491733006737
9,167141,churn,mixed,5000,20,0.8377408637873754,0.8879069767441861,0.8393687707641196,0.8900996677740864,0.8874750830564785,0.90468438538206,0.8792691029900331,0.4979291113280309,0.7618643207229353,0.4973044069123068,0.7443427242295702,0.7908147838892993,0.8275047769500194,0.8029641657617277,0.0501661129568106,0.2639352093949043,0.0485382059800664,-0.0167774086378738,0.0086378737541529
10,14965,bank-marketing,mixed,45211,16,0.913001817452754,0.9321847259168574,0.916452563252232,0.9315337757900524,0.933894239304416,0.9305282353759912,0.9381322796936226,0.5614507719930178,0.6198242163993177,0.5703727318154395,0.6187213947597657,0.6233451676297549,0.6214659404542339,0.6410733067948169,0.0191829084641034,0.0583734444062998,0.0157321626646254,0.0016564905408661,-0.0059475537767651
11,219,electricity,mixed,45312,8,0.8658603226279606,0.8928080318992895,0.8860618375572364,0.900839552536255,0.903807890004209,0.9530253545782686,0.953888283930462,0.8293751954676017,0.8638824096854475,0.8528406412725525,0.875506045138338,0.875271301119829,0.9376331887057008,0.9400466558017878,0.0269477092713288,0.0345072142178457,0.006746194342053,-0.0602173226789791,-0.0610802520311724
