task_index,task_id,dataset_name,feature_type,n_selection_stable,n_isr_retained,isr_sparsification,main_auroc,agnam_auroc,no_isr_auroc,single_run_auroc,agnam_minus_main_auroc,agnam_minus_no_isr_auroc,agnam_minus_single_run_auroc
0,49,tic-tac-toe,categorical,0,0,,0.9889369889369888,0.9889369889369888,0.9889369889369888,0.9745069745069744,0.0,0.0,0.014430014430014348
1,3,kr-vs-kp,categorical,8,7,0.125,0.9961645336777424,0.9998434503541936,0.9996869007083872,0.9988258776564518,0.0036789166764512604,0.00015654964580646968,0.001017572697741831
2,14952,PhishingWebsites,categorical,10,9,0.0999999999999999,0.9855171614100184,0.98740889212828,0.9874486482904852,0.9881311290750066,0.0018917307182615417,-3.975616220519562e-05,-0.0007222369467265732
3,125920,dresses-sales,mixed,0,0,,0.5402298850574713,0.5402298850574713,0.5402298850574713,0.5648604269293924,0.0,0.0,-0.024630541871921152
4,14954,cylinder-bands,mixed,0,0,,0.8906030855539973,0.8906030855539973,0.8906030855539973,0.8821879382889202,0.0,0.0,0.008415147265077083
5,9971,ilpd,mixed,0,0,,0.7016806722689075,0.7016806722689075,0.7016806722689075,0.7002801120448179,0.0,0.0,0.0014005602240896309
6,29,credit-approval,mixed,5,0,1.0,0.9042735042735044,0.9042735042735044,0.941025641025641,0.9384615384615383,0.0,-0.03675213675213662,-0.034188034188033956
7,31,credit-g,mixed,1,0,1.0,0.8271428571428572,0.8271428571428572,0.828095238095238,0.8276190476190477,0.0,-0.0009523809523808158,-0.0004761904761905189
8,3021,sick,mixed,16,4,0.75,0.9421922841396204,0.9443968156766688,0.952112676056338,0.9483159828536436,0.00220453153704836,-0.007715860379669204,-0.003919167176974825
9,167141,churn,mixed,13,9,0.3076923076923077,0.8377408637873754,0.8879069767441861,0.8900996677740864,0.8874750830564785,0.050166112956810616,-0.0021926910299003843,0.0004318936877075741
10,14965,bank-marketing,mixed,9,7,0.2222222222222222,0.913001817452754,0.9321847259168574,0.9315337757900524,0.933894239304416,0.01918290846410342,0.0006509501268050499,-0.0017095133875585367
11,219,electricity,mixed,4,3,0.25,0.8658603226279606,0.8928080318992895,0.900839552536255,0.903807890004209,0.026947709271328835,-0.00803152063696555,-0.010999858104919547
12,7592,adult,mixed,4,1,0.75,0.9164897177811072,0.9171964390456364,0.9180523314435252,0.9165937692506728,0.0007067212645291976,-0.0008558923978887467,0.0006026697949635951
13,3913,kc2,numeric,0,0,,0.8701298701298702,0.8701298701298702,0.8701298701298702,0.8593073593073594,0.0,0.0,0.010822510822510845
14,146819,climate-model-simulation-crashes,numeric,5,2,0.6,0.765,0.765,0.76,0.775,0.0,0.0050000000000000044,-0.010000000000000009
15,9946,wdbc,numeric,0,0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,15,breast-w,numeric,1,1,0.0,0.9945652173913044,0.9927536231884058,0.9927536231884058,0.9936594202898552,-0.0018115942028986698,0.0,-0.0009057971014494459
17,37,diabetes,numeric,0,0,,0.9214814814814816,0.9214814814814816,0.9214814814814816,0.9237037037037036,0.0,0.0,-0.0022222222222220145
18,9957,qsar-biodeg,numeric,0,0,,0.942063492063492,0.942063492063492,0.942063492063492,0.9472222222222222,0.0,0.0,-0.00515873015873014
19,3918,pc1,numeric,7,1,0.8571428571428572,0.7774725274725275,0.7211538461538461,0.8475274725274725,0.8598901098901099,-0.05631868131868134,-0.12637362637362637,-0.1387362637362638
20,3902,pc4,numeric,0,0,,0.9340277777777776,0.9340277777777776,0.9340277777777776,0.9340277777777778,0.0,0.0,-2.220446049250313e-16
21,3903,pc3,numeric,1,0,1.0,0.8089539007092199,0.8089539007092199,0.8102836879432623,0.8023049645390071,0.0,-0.0013297872340424233,0.0066489361702127825
22,3917,kc1,numeric,3,1,0.6666666666666667,0.8302199720670391,0.8293470670391061,0.831965782122905,0.8164280726256983,-0.0008729050279330242,-0.0026187150837988504,0.012918994413407825
23,9978,ozone-level-8hr,numeric,0,0,,0.960609243697479,0.960609243697479,0.960609243697479,0.9587710084033614,0.0,0.0,0.0018382352941176405
24,43,spambase,numeric,0,0,,0.9701642443577928,0.9701642443577928,0.9701642443577928,0.9640789318208672,0.0,0.0,0.006085312536925569
25,146820,wilt,numeric,5,0,1.0,0.9950453476654352,0.9950453476654352,0.9964729593550556,0.9964729593550556,0.0,-0.0014276116896204671,-0.0014276116896204671
26,9952,phoneme,numeric,5,3,0.4,0.8908426355823372,0.9142711317461886,0.9078665744673844,0.9157364417662748,0.023428496163851342,0.006404557278804179,-0.001465310020086208
27,3904,jm1,numeric,5,3,0.4,0.7203440607153268,0.7193724427555085,0.7198636496129722,0.7197448963067722,-0.0009716179598182606,-0.0004912068574637329,-0.00037245355126369617
