task_index,task_id,dataset_name,feature_type,n_features,candidate_k,mean_pairwise_jaccard,n_selection_stable,n_isr_retained,isr_sparsification,max_decomposition_error,selection_empty,isr_empty,retained_fraction_of_candidate_k
0,49,tic-tac-toe,categorical,9,5,0.0722222222222222,0,0,,0.0,True,True,0.0
1,3,kr-vs-kp,categorical,36,20,0.1412301288462279,8,7,0.125,0.0,False,False,0.35
2,14952,PhishingWebsites,categorical,30,20,0.2560146052555919,10,9,0.0999999999999999,0.0,False,False,0.45
3,125920,dresses-sales,mixed,12,7,0.023076923076923,0,0,,0.0,True,True,0.0
4,14954,cylinder-bands,mixed,37,20,0.0076923076923076,0,0,,0.0,True,True,0.0
5,9971,ilpd,mixed,10,5,0.0222222222222222,0,0,,0.0,True,True,0.0
6,29,credit-approval,mixed,15,11,0.1540901272789817,5,0,1.0,0.0,False,True,0.0
7,31,credit-g,mixed,20,19,0.050829484947132,1,0,1.0,0.0,False,True,0.0
8,3021,sick,mixed,29,20,0.2721563179490288,16,4,0.75,0.0,False,False,0.2
9,167141,churn,mixed,20,19,0.328657862962646,13,9,0.3076923076923077,0.0,False,False,0.47368421052631576
10,14965,bank-marketing,mixed,16,12,0.3976160990712074,9,7,0.2222222222222222,0.0,False,False,0.5833333333333334
11,219,electricity,mixed,8,5,0.45,4,3,0.25,0.0,False,False,0.6
12,7592,adult,mixed,14,10,0.1872549019607843,4,1,0.75,0.0,False,False,0.1
13,3913,kc2,numeric,21,20,0.0261917788233577,0,0,,0.0,True,True,0.0
14,146819,climate-model-simulation-crashes,numeric,18,16,0.1287010688204284,5,2,0.6,0.0,False,False,0.125
15,9946,wdbc,numeric,30,20,0.0210526315789473,0,0,,0.0,True,True,0.0
16,15,breast-w,numeric,9,5,0.0944444444444444,1,1,0.0,0.0,False,False,0.2
17,37,diabetes,numeric,8,5,0.0805555555555555,0,0,,0.0,True,True,0.0
18,9957,qsar-biodeg,numeric,41,20,0.0078272604588394,0,0,,0.0,True,True,0.0
19,3918,pc1,numeric,21,20,0.1149133242087401,7,1,0.8571428571428572,0.0,False,False,0.05
20,3902,pc4,numeric,37,20,0.0076923076923076,0,0,,0.0,True,True,0.0
21,3903,pc3,numeric,37,20,0.0266306792622582,1,0,1.0,0.0,False,True,0.0
22,3917,kc1,numeric,21,20,0.0779176243572528,3,1,0.6666666666666667,0.0,False,False,0.05
23,9978,ozone-level-8hr,numeric,72,20,0.0051282051282051,0,0,,0.0,True,True,0.0
24,43,spambase,numeric,57,20,0.0,0,0,,0.0,True,True,0.0
25,146820,wilt,numeric,5,5,0.6047619047619048,5,0,1.0,0.0,False,True,0.0
26,9952,phoneme,numeric,5,5,0.5,5,3,0.4,0.0,False,False,0.6
27,3904,jm1,numeric,21,20,0.1146043896043896,5,3,0.4,0.0,False,False,0.15
