scenario,family,comparison_id,metric,model_a,model_b,n_pairs,wilcoxon_effective_n,mean_model_a,mean_model_b,mean_difference,sd_difference,median_difference,q25_difference,q75_difference,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high,wilcoxon_statistic,p_raw,rank_biserial,win_rate,loss_rate,tie_rate,p_holm,reject_holm,family_complete
S1,primary,agnam_vs_main_auroc,AUROC,AG-NAM,Main NAM,20,20,0.8681988092482582,0.7541764934217093,0.1140223158265489,0.035348483628441334,0.12166233005022126,0.11177132292528646,0.13349141454962643,0.0973608338825398,0.12723966369670583,0.11505464178635966,0.1314483767335624,1.0,3.814697265625e-06,0.9904761904761905,0.95,0.05,0.0,7.62939453125e-06,True,True
S1,secondary,agnam_vs_main_auprc,AUPRC,AG-NAM,Main NAM,20,20,0.868191534943852,0.7521664017289497,0.11602513321490249,0.038284435612762686,0.11966264015556888,0.11023680517071816,0.13776315246046567,0.0979979819300303,0.1308356603383649,0.11046543444716084,0.13704712716474898,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
S1,secondary,agnam_vs_random_auprc,AUPRC,AG-NAM,Random-Pair NAM,20,20,0.868191534943852,0.7653331613930484,0.10285837355080378,0.05028294313772515,0.11839400135810274,0.07296230908540627,0.13802575486054916,0.0808711600826321,0.12310736568483152,0.07653829894555575,0.136715621320955,1.0,3.814697265625e-06,0.9904761904761905,0.95,0.05,0.0,4.9591064453125e-05,True,True
S1,secondary,agnam_vs_random_auroc,AUROC,AG-NAM,Random-Pair NAM,20,20,0.8681988092482582,0.7669087849270751,0.1012900243211831,0.04806474060883209,0.12074450869942249,0.07061429459096177,0.13477643724372437,0.07980195802128523,0.12064854298041942,0.08115279809562154,0.13319496229434735,2.0,5.7220458984375e-06,0.9809523809523809,0.95,0.05,0.0,6.866455078125e-05,True,True
S1,secondary,agnam_vs_single_run_auprc,AUPRC,AG-NAM,Single-Run AG-NAM,20,20,0.868191534943852,0.8564028210960704,0.011788713847781695,0.03559089971774375,0.0004474707233098063,-0.0018740556470444591,0.008777576511177387,-0.00176035054622773,0.028021701004454235,-0.001478002668935996,0.001949840221930177,86.0,0.49800872802734375,0.18095238095238095,0.6,0.4,0.0,1.0,False,True
S1,secondary,agnam_vs_single_run_auroc,AUROC,AG-NAM,Single-Run AG-NAM,20,20,0.8681988092482582,0.8570936172711138,0.011105191977144485,0.03289693068623381,0.0005941521029385055,-0.0012491750235944232,0.008910745920269664,-0.0016060943073591617,0.02652278776532827,-0.0006144190292210472,0.0017180388090285437,79.0,0.34881019592285156,0.24761904761904763,0.6,0.4,0.0,1.0,False,True
S2,primary,agnam_vs_main_auroc,AUROC,AG-NAM,Main NAM,20,20,0.8256384852221809,0.7207631864517778,0.10487529877040302,0.023329440322763493,0.11301121442370621,0.08495406876089065,0.12013689386508294,0.09441744899627696,0.11432014650638064,0.09518873596899236,0.11920827046091137,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,7.62939453125e-06,True,True
S2,secondary,agnam_vs_main_auprc,AUPRC,AG-NAM,Main NAM,20,20,0.8250040183590419,0.7193483690939269,0.1056556492651151,0.025569275570294918,0.11310582405083547,0.09143246549143372,0.11934536215160549,0.09397897626577979,0.11565355327676503,0.10010216963529234,0.11850621224015456,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
S2,secondary,agnam_vs_random_auprc,AUPRC,AG-NAM,Random-Pair NAM,20,20,0.8250040183590419,0.7195639814621407,0.10544003689690103,0.025469458755210273,0.11534079138622716,0.0900401566353824,0.11872066867807024,0.09399825859931026,0.11544086331673416,0.09929785866079516,0.11774824578599974,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
S2,secondary,agnam_vs_random_auroc,AUROC,AG-NAM,Random-Pair NAM,20,20,0.8256384852221809,0.7209198181450521,0.1047186670771288,0.02341608121013801,0.11337132648342985,0.0853232920277272,0.12110903424533681,0.09463200743044446,0.11406739695976237,0.09393072213843828,0.12068754417459882,0.0,1.9073486328125e-06,1.0,1.0,0.0,0.0,3.814697265625e-05,True,True
